code,component_type,component_id,coefficient
3.11.4.13.1,material,417,1.1
3.11.4.13.1,material,419,0.005
3.11.4.13.1,material,420,4.667
3.11.4.14,material,421,1.0
3.11.4.15,material,422,1.0
3.11.4.16,material,423,1.0
3.11.4.17,material,424,1.0
3.11.4.18,material,425,1.0
3.11.4.19,material,426,1.0
3.11.4.2,material,406,1.0
3.11.4.20,material,421,1.0
3.11.4.21,material,427,1.0
3.11.4.22,material,428,1.0
3.11.4.3,material,407,1.0
3.11.4.4,material,408,1.0
3.11.4.5,material,409,1.0
3.11.4.6,material,410,1.0
3.11.4.7,material,411,1.0
3.11.4.8,material,412,1.0
3.11.4.9,material,413,1.0
3.12.1,material,429,1.0
3.12.10,material,192,0.05
3.12.10,material,438,1.1
3.12.11,material,192,0.143
3.12.11,material,439,2.1
3.12.12,material,192,0.143
3.12.12,material,439,2.1
3.12.12,material,440,4.0
3.12.13,material,191,1.1
3.12.13,material,192,0.143
3.12.14,material,192,0.143
3.12.14,material,440,4.0
3.12.14,material,441,1.1
3.12.2,material,192,0.05
3.12.2,material,430,1.1
3.12.3,material,192,0.05
3.12.3,material,431,1.1
3.12.4,material,192,0.05
3.12.4,material,432,1.1
3.12.5,material,192,0.07
3.12.5,material,433,1.1
3.12.6,material,192,0.07
3.12.6,material,434,1.1
3.12.7,material,435,1.1
3.12.8,material,436,1.1
3.12.9,material,437,1.1
3.13.1,material,400,2.0
3.13.1,material,442,1.1
3.13.2,material,192,0.05
3.13.2,material,443,1.1
3.13.3,material,124,0.24
3.13.4,material,124,0.05
3.13.4,material,444,4.8
3.13.4,material,445,9.9
3.13.4,material,446,0.1
3.13.5,material,124,0.05
3.13.5,material,444,3.0
3.13.5,material,446,0.1
3.13.5,material,447,2.0
3.13.5,material,448,2.0
3.13.6,material,449,1.0
3.13.6,material,450,16.0
3.14.1,material,48,1.0
3.14.1,material,153,0.03
3.14.1,material,348,0.3
3.14.1,material,350,0.025
3.14.2,material,48,1.0
3.14.2,material,153,0.03
3.14.2,material,205,0.025
3.14.2,material,348,0.8
3.14.2,material,451,0.5
3.15.1,material,452,1.0
3.15.1,material,453,8.0
3.16.1.1,material,133,6.0
3.16.1.1,material,454,1.0
3.16.1.2,material,133,6.0
3.16.1.2,material,454,43.71
3.16.2,material,455,1.0
3.16.2.1,material,455,1.0
3.16.3,material,456,0.09
3.16.3,material,457,4.0
3.16.3,material,458,1.0
3.16.4,material,458,1.0
3.16.5,material,459,3.29
3.16.5,material,460,0.459
3.16.6,material,461,1.0
3.16.6,material,462,4.0
3.16.7,material,462,4.0
3.16.7,material,463,1.0
3.18.1.1,material,15,6.0
3.18.1.1,material,122,0.01
3.18.1.1,material,464,1.2
3.18.2.1,material,465,1.0
3.18.2.1,material,466,1.0
3.18.2.2,material,15,20.0
3.18.2.2,material,41,0.05
3.18.2.2,material,466,1.0
3.18.2.2,material,467,1.0
3.18.3.1,material,468,1.0
3.18.3.1,material,469,1.0
3.18.3.2,material,470,1.0
3.18.3.2,material,471,0.036
3.18.3.3,material,472,1.05
3.18.3.3,material,473,0.794
3.18.4.1,material,15,6.0
3.18.4.1,material,122,0.01
3.18.4.1,material,474,1.0
3.18.4.2,material,475,1.0
3.18.4.2,material,476,0.025
3.18.5.1,material,469,1.0
3.18.5.1,material,477,1.0
3.18.5.2,material,15,120.0
