;NO;URAIAN PEKERJAAN;SATUAN;HARGA SATUAN;KETERANGAN;;;
;2.2.1.1.8;Mengangkut 1 kg tulangan tiap tambahan jarak horizontal 25 m ke tapak pemasangan secara manual (untuk bangunan gedung);kg; Rp27,00 ;0;0;;
;2.2.1.1.9;Mengangkut/menaikkan 1 kg tulangan tiap kenaikan vertikal 4 m atau tambahan jarak horizontal 25 m ke tapak pemasangan secara mekanis (untuk bangunan gedung);kg; Rp1.274,00 ;0;0;;
;2.2.1.2;Pemasangan 1 m' PVC waterstop ;;;0;0;;
;2.2.1.2.1;Pemasangan 1 m' PVC waterstop lebar 150 mm (untuk bangunan gedung);m; Rp98.807,00 ;Revisi ;tidak ada perubahan;;
;2.2.1.2.2;Pemasangan 1 m' PVC waterstop lebar 200 mm;m; Rp122.842,00 ;Revisi;tidak ada perubahan;;
;2.2.1.2.3;Pemasangan 1 m' PVC waterstop lebar 230-320 mm;m; Rp174.996,00 ;0;0;;
;2.2.1.3;Pemasangan dan Pembongkaran Bekisting ;;;0;0;;
;2.2.1.3.1;Pemasangan 1 m2 bekisting untuk pondasi telapak (3 kali pakai);m2; Rp254.573,00 ;0;0;;
;2.2.1.3.2;Pemasangan 1 m2 bekisting untuk sloof  (3 kali pakai);m2; Rp272.173,00 ;0;0;;
;2.2.1.3.3;Pemasangan 1 m2 bekisting untuk kolom (3 kali pakai);m2; Rp226.443,00 ;0;0;;
;2.2.1.3.4;Pemasangan 1 m2 bekisting untuk balok (3 kali pakai);m2; Rp238.668,00 ;0;0;;
;2.2.1.3.5;Pemasangan 1 m2 bekisting untuk plat lantai (3 kali pakai);m2; Rp241.284,00 ;0;0;;
;2.2.1.3.6;Pemasangan 1 m2 bekisting untuk dinding shearwall (3 kali pakai);m2; Rp284.467,00 ;0;0;;
;2.2.1.3.7;Pemasangan 1 m2 bekisting untuk tangga (3 kali pakai);m2; Rp237.811,00 ;0;0;;
;2.2.1.3.8;Pemasangan 1 m2 bekisting jembatan untuk pengecoran beton (3 kali pakai);m2; Rp121.041,00 ;0;0;;
;2.2.1.3.9;Pembongkaran 1 m2 bekisting secara biasa pada bangunan gedung (termasuk membersihkan dan membereskan puing-puing);m2; Rp5.280,00 ;0;0;;
;2.2.1.3.10;Pembongkaran 1 m2 bekisting secara hati-hati pada bangunan gedung (untuk beton expose dan/atau pemanfaatan kembali bekisting);m2; Rp7.920,00 ;0;0;;
;2.2.1.4;Pembuatan S.D Pengecoran Campuran Beton Secara Manual ;;;0;0;;
;2.2.1.4.1; 1 m3 beton mutu rendah f'c 7,5 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara manual ;m3; Rp928.002,00 ;0;0;;
;2.2.1.4.2;1 m3 beton mutu rendah f'c 10 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara manual;m3; Rp1.236.055,00 ;0;0;;
;2.2.1.4.3;1 m3 beton mutu rendah f'c 15 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara manual;m3; Rp1.278.955,00 ;0;0;;
;2.2.1.4.4; 1 m3 beton mutu rendah f'c 17 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara manual;m3; Rp1.296.885,00 ;0;0;;
;2.2.1.4.5; 1 m3 beton mutu sedang f'c 20 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara manual;m3; Rp1.325.155,00 ;0;0;;
;2.2.1.4.6; 1 m3 beton mutu sedang f'c 21 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara manual;m3; Rp1.347.155,00 ;0;0;;
;2.2.4.5 ;Pembuatan s.d. Pengecoran Campuran Beton Secara Mekanis ;;;0;0;;
;2.2.1.5.1; 1 m3 beton mutu rendah f'c 10 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara semi mekanis;m3; Rp1.228.685,00 ;0;0;;
;2.2.1.5.2; 1 m3 beton mutu rendah f'c 15 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara semi mekanis;m3; Rp1.271.585,00 ;0;0;;
;2.2.1.5.3;1 m3 beton mutu rendah f'c 17 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara semi mekanis;m3; Rp1.289.515,00 ;0;0;;
;2.2.1.5.4;1 m3 beton mutu sedang f'c 20 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara semi mekanis;m3; Rp1.317.785,00 ;0;0;;
;2.2.1.5.5;1 m3 beton mutu sedang f'c 21 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara semi mekanis;m3; Rp1.339.785,00 ;0;0;;
;2.2.1.5.6;1 m3 beton mutu sedang f'c 25 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara semi mekanis;m3; Rp1.382.685,00 ;0;0;;
;2.2.1.5.7;1 m3 beton mutu sedang f'c 28 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara semi mekanis;m3; Rp1.415.685,00 ;0;0;;
;2.2.1.5.8;1 m3 beton mutu sedang f'c 30 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara semi mekanis;m3; Rp1.437.685,00 ;0;0;;
;2.2.1.5.9; 1 m3 beton mutu sedang f'c 31 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara semi mekanis;m3; Rp1.450.115,00 ;0;0;;
;2.2.1.5.10;1 m3 beton mutu sedang f'c 35 MPa, slump (100 ± 25) mm, agregat maks 19 mm secara semi mekanis;m3; Rp1.417.775,00 ;0;0;;
;2.2.1.5.11; 1 m3 beton kedap air dengan aditif secara semi mekanis ;m3; Rp1.502.979,00 ;0;0;;
;2.2.1.6;Pengecoran  Campuran Beton Ready Mix;;;0;0;;
;2.2.1.6.1;Pengecoran 1 m3  menggunakan ready mixed (untuk bangunan gedung);m3; Rp1.122.101,00 ;0;0;;
;2.2.1.7;Angkat dan Angkut Campuran Beton ;;;0;0;;
;2.2.1.7.1;1 m3 beton dicorkan pada tapak setiap tambah jarak 25 m', secara manual;m3; Rp66.495,00 ;0;0;;
;2.2.1.7.2;1 m3 beton dicorkan pada tapak setiap kenaikan 4 m', secara manual;m3; Rp141.680,00 ;0;0;;
;2.2.1.7.3;"Pengecoran pakai pompa beton ø 1,5""; 5 KW; 8 bar; T = 5 m' (untuk Bangunan Gedung)";m3; Rp942.480,00 ;0;0;;
;2.2.1.7.4;"Pengecoran pakai pompa beton ø 2,5"", 20 KW, 20 bar, T = 18m'";m3; Rp847.440,00 ;0;0;;
;2.2.1.7.5;"Pengecoran pakai pompa beton ∅ 2,5”, 75 KW; 120 bar, T = 50 m’/H= 80 m’";m3; Rp739.200,00 ;0;0;;
;2.2.1.7.6;"Pengecoran pakai pompa beton ∅ 3”,140 KW; 180 bar, T=75 m'/H=150 m'";m3; Rp725.120,00 ;0;0;;
;2.2.1.8;Pemadatan Beton Pada Saat Pengecoran ;;;0;0;;
;2.2.1.8.1;Pemadatan 1 m3 beton dengan baja tulangan pada bangunan gedung ;m3; Rp26.400,00 ;0;0;;
;2.2.1.8.2;Pemadatan 1 m3 beton menggunakan vibrator pada bangunan gedung ;m3; Rp80.960,00 ;0;0;;
;2.2.1.9;Pelaksanaan Curing (Pemeliharaan);;;0;0;;
;2.2.1.9.1;Menggenangi 1 m2 permukaan beton dengan air selama 4 hari (untuk bangunan gedung);m2; Rp2.964,00 ;0;0;;
;2.2.1.9.2;Menyirami 1 m2 permukaan beton menggunakan media kain terpal selama 4 hari (untuk Bangunan Gedung);m2; Rp15.884,00 ;0;0;;
;2.2.1.9.3;Menyirami 1 m2 permukaan beton menggunakan media karung goni selama 4 hari;m2; Rp18.689,00 ;0;0;;
;2.2.1.10;Kolom /Balok Praktis ;;;0;0;;
;2.2.1.10.1;Pembuatan 1 m' kolom praktis beton bertulang (11x11);m; Rp116.740,00 ;0;0;;
;2.2.1.10.2;Pembuatan 1 m' balok praktis beton bertulang (10x15);m; Rp156.276,00 ;0;0;;
;2.2.1.11;Grouting ;;;0;0;;
;2.2.1.11.1;1 m3 pekerjaan grouting secara manual pada bangunan gedung ;m3; Rp13.027.229,00 ;0;0;;
;2.2.1.11.2;1 kg pekerjaan grouting secara injeksi pada bangunan gedung ;kg; Rp285.490,00 ;0;0;;
;2.2.2;Struktur Bawah ;;;;;;
;2.2.2.1;Fondasi Menerus Batu Belah ;;;;;;
;2.2.2.1.1;Pemasangan 1 m3 batu kosong (anstamping) untuk pondasi gedung;m3; Rp657.585,00 ;0;0;;
;2.2.2.1.2;Pemasangan 1 m3 pondasi batu belah mortar tipe M 17,5 Mpa setara 1SP : 2PP, cara manual;m3; Rp1.149.390,00 ;0;0;;
;2.2.2.1.3;Pemasangan 1 m3 pondasi batu belah mortar tipe M 17,5 Mpa (setara 1SP : 2PP), cara semi mekanis;m3; Rp1.098.009,00 ;0;0;;
;2.2.2.1.4;Pemasangan 1 m3 pondasi batu belah mortar tipe S 12,5 Mpa (setara 1SP : 3PP), cara manual;m3; Rp1.091.502,00 ;0;0;;
;2.2.2.1.5;Pemasangan 1 m3 pondasi batu belah mortar tipe S 12,5 Mpa (setara 1SP : 3PP), cara semi mekanis;m3; Rp1.040.121,00 ;0;0;;
;2.2.2.1.6;Pemasangan 1 m3 pondasi batu belah mortar tipe N 5,2 Mpa (setara 1SP : 4PP), cara manual;m3; Rp1.046.320,00 ;0;0;;
;2.2.2.1.7;Pemasangan 1 m3 pondasi batu belah mortar tipe N 5,2 Mpa (setara 1SP : 4PP), cara semi mekanis;m3; Rp994.939,00 ;0;0;;
;2.2.2.1.8;Pemasangan 1 m3 pondasi batu belah mortar tipe O 2,4 Mpa (setara 1SP : 5PP), cara manual;m3; Rp1.013.540,00 ;0;0;;
;2.2.2.1.9;Pemasangan 1 m3 pondasi batu belah mortar tipe O 2,4 Mpa (setara 1SP : 5PP), cara semi mekanis;m3; Rp962.159,00 ;0;0;;
;2.2.2.1.10;Pemasangan 1 m3 pondasi batu belah campuran 1SP : 6PP, cara manual;m3; Rp992.942,00 ;0;0;;
;2.2.2.2.11;Pemasangan 1 m3 pondasi batu belah campuran 1SP : 6PP, cara semi mekanis;m3; Rp941.561,00 ;0;0;;
;2.2.2.2;Pondasi Sumuran Beton Siklop;;;0;0;;
;2.2.2.2.1;Pembuatan 1 m3 pondasi beton siklop, 60% beton fc' 15 MPa : 40% batu belah untuk vol. s.d 200 m3 secara manual;m3; Rp1.012.906,00 ;0;0;;
;2.2.2.2.2;Pembuatan 1 m3 pondasi beton siklop, 60% beton fc' 15 MPa : 40% batu belah untuk vol. > 200 m3 secara manual;m3; Rp1.005.253,00 ;0;0;;
;2.2.2.2.3;Pembuatan 1 m3 pondasi beton siklop, 60% beton fc' 15 MPa : 40% batu belah untuk vol. > 200 m3 secara semi mekanis;m3; Rp972.394,00 ;0;0;;
;2.2.2.2.4;Pembuatan 1 m3 pondasi beton siklop, 70% beton fc' 15 MPa : 30% batu belah untuk vol. > 200 m3 secara manual;m3; Rp1.081.050,00 ;0;0;;
;2.2.2.2.5;Pembuatan 1 m3 pondasi beton siklop, 70% beton fc' 15 MPa : 30% batu belah untuk vol. > 200 m3 secara semi mekanis;m3; Rp1.049.751,00 ;0;0;;
;2.2.2.2.6;Pembuatan 1 m3 pondasi sumuran, diameter 100 cm masif;m3; Rp973.176,00 ;0;0;;
;2.2.2.3 ;Pondasi Strauss Pile dan Bore Pile;;;0;0;;
;2.2.2.3.1;Pengeboran 1 m' lubang bored pile φ 20 cm pada pada tanah lunak (manual);m'; Rp708.693,00 ;0;0;;
;2.2.2.3.2;Pengeboran 1 m' lubang bored pile φ 20 cm pada pada tanah sedang (manual);m'; Rp19.818,00 ;0;0;;
;2.2.2.3.3;Pengeboran 1 m' lubang bored pile φ 20 cm pada pada tanah keras, sangat padat, dan batuan lunak (manual);m'; Rp131.870,00 ;0;0;;
;2.2.2.3.4;Pengeboran 1 m' lubang bored pile φ 20 cm pada tanah berbatu (manual);m'; Rp198.018,00 ;0;0;;
;2.2.2.3.5;Pengeboran 1 m' lubang bored pile φ 30 cm pada tanah lunak (manual);m'; Rp1.576.562,00 ;0;0;;
;2.2.2.3.6;Pengeboran 1 m' lubang bored pile φ 30 cm pada tanah sedang (manual);m'; Rp49.170,00 ;0;0;;
;2.2.2.3.7;Pengeboran 1 m' lubang bored pile φ 30 cm pada pada tanah keras, sangat padat, dan batuan lunak (manual);m'; Rp297.000,00 ;0;0;;
;2.2.2.3.8;Pengeboran 1 m' lubang bored pile φ 30 cm pada tanah berbatu (manual);m'; Rp445.423,00 ;0;0;;
;2.2.2.3.9;Pengeboran 1 m' lubang bored pile φ 40 cm pada tanah lunak (manual);m'; Rp2.811.732,00 ;0;0;;
;2.2.2.3.10;Pengeboran 1 m' lubang bored pile φ 40 cm pada tanah sedang (manual);m'; Rp96.834,00 ;0;0;;
;2.2.2.3.11;Pengeboran 1 m' lubang bored pile φ 40 cm pada pada tanah keras, sangat padat, dan batuan lunak (manual);m'; Rp432.352,00 ;0;0;;
;2.2.2.3.12;Pengeboran 1 m' lubang bored pile φ 40 cm pada tanah berbatu (manual);m'; Rp648.676,00 ;0;0;;
;2.2.2.3.13;Pengeboran 1 m' lubang bored pile φ 50 cm pada tanah lunak (manual);m'; Rp4.420.477,00 ;0;0;;
;2.2.2.3.14;Pengeboran 1 m' lubang bored pile φ 50 cm pada tanah sedang (manual);m'; Rp167.674,00 ;0;0;;
;2.2.2.3.15;Pengeboran 1 m' lubang bored pile φ 50 cm pada pada tanah keras, sangat padat, dan batuan lunak (manual);m'; Rp1.118.313,00 ;0;0;;
;2.2.2.3.16;Pengeboran 1 m' lubang bored pile φ 50 cm pada tanah berbatu (manual);m'; Rp1.677.424,00 ;0;0;;
;2.2.2.3.17;Pengeboran 1 m' lubang bored pile φ 60 cm (mekanis) untuk  bangunan gedung ;m'; Rp139.919,00 ;0;0;;
;2.2.2.3.18;Pengeboran 1 m' lubang bored pile φ 80 cm (mekanis) untuk  bangunan gedung ;m'; Rp153.833,00 ;0;0;;
;2.2.2.3.19;Pengeboran 1 m' lubang bored pile φ 100 cm (mekanis) untuk  bangunan gedung ;m'; Rp168.029,00 ;0;0;;
;2.2.2.3.20;Pengeboran 1 m' lubang bored pile φ 120 cm (mekanis) untuk  bangunan gedung ;m'; Rp208.981,00 ;0;0;;
;2.2.2.4;Pondasi Tiang Pancang ;; Rp- ;0;0;;
;2.2.2.4.1;Per m' penetrasi Tiang Beton ∆  28 cm secara mekanis ;m'; Rp89.504,00 ;0;0;;
;2.2.2.4.2;Per m' penetrasi Tiang Beton ∆  32 cm secara mekanis ;m'; Rp92.399,00 ;0;0;;
;2.2.2.4.3;Per m' penetrasi Tiang Beton persegi 20cm x 20 cm secara mekanis ;m'; Rp100.121,00 ;0;0;;
;2.2.2.4.4;Per m' penetrasi Tiang Beton persegi 25 cm x 25 cm secara mekanis ;m'; Rp104.464,00 ;0;0;;
;2.2.2.4.5;Per m' penetrasi Tiang Beton persegi 30 cm x 30 cm secara mekanis ;m'; Rp107.096,00 ;0;0;;
;2.2.2.4.6;Per m' penetrasi Tiang Beton persegi 35 cm x 35 cm secara mekanis ;m'; Rp107.755,00 ;0;0;;
;2.2.2.4.7;Per m' penetrasi Tiang Beton persegi 40 cm x 40 cm secara mekanis ;m'; Rp111.830,00 ;0;0;;
;2.2.2.4.8;Per m' penetrasi Tiang Beton persegi 45 cm x 45 cm secara mekanis ;m'; Rp116.042,00 ;0;0;;
;2.2.2.4.9;Per m' penetrasi Tiang Beton persegi 50 cm x 50 cm secara mekanis ;m'; Rp116.571,00 ;0;0;;
;2.2.2.4.10;Per m' penetrasi Spun Pile Diameter 30 cm secara mekanis ;m'; Rp103.824,00 ;Revisi;Perubahan penambahan dinama bahan dan peralatan ;;
;2.2.2.4.11;Per m' penetrasi Spun Pile Diameter 35 cm secara mekanis ;m'; Rp106.184,00 ;Revisi;Perubahan penambahan dinama bahan dan peralatan ;;
;2.2.2.4.12;Per m' penetrasi Spun Pile Diameter 40 cm secara mekanis ;m'; Rp108.478,00 ;Revisi ;Perubahan penambahan dinama bahan dan peralatan ;;
;2.2.2.4.13;Per m' penetrasi Spun Pile Diameter 45 cm secara mekanis ;m'; Rp112.690,00 ;Revisi ;Perubahan penambahan dinama bahan dan peralatan ;;
;2.2.2.4.14;Per m' penetrasi Spun Pile Diameter 50 cm secara mekanis ;m'; Rp113.281,00 ;Revisi ;Perubahan penambahan dinama bahan dan peralatan ;;
;2.2.2.4.15;Per m' penetrasi Spun Pile Diameter 60 cm secara mekanis ;m'; Rp114.200,00 ;Revisi ;Perubahan penambahan dinama bahan dan peralatan ;;
;2.2.2.4.16;Per m' Pengelasan Tiang Beton tebal 5 mm;m'; Rp12.600,00 ;Revisi ;Perubahan di nama Perlatan awalnya Alat Las Listrik jadi Alat Las Listrik 150 A;;
;2.2.2.4.17;Per m' Pengelasan Tiang Beton tebal 6 mm;m'; Rp17.556,00 ;Revisi ;Perubahan di nama Perlatan awalnya Alat Las Listrik jadi Alat Las Listrik 250 A;;
;2.2.2.4.18;Per m' Pengelasan Tiang Beton tebal 8 mm;m'; Rp30.686,00 ;Revisi ;Perubahan di nama Perlatan awalnya Alat Las Listrik jadi Alat Las Listrik 350 A;;
;2.2.2.4.19;Per m' Pengelasan Tiang Beton tebal 10 mm;m'; Rp47.582,00 ;Revisi ;Perubahan di nama Perlatan awalnya Alat Las Listrik jadi Alat Las Listrik 350 A;;
;2.2.2.5;Concrete Sheet Pile ;;;0;0;;
;2.2.2.5.1;"Per m' penetrasi turap beton pre-cast 12 x 30 cm , pjg -4 m; berat 100 kg/m'";m'; Rp47.597,00 ;0;0;;
;2.2.2.5.2;"Per m' penetrasi turap beton pre-cast 15 x 40 cm , pjg -4 m; berat 150 kg/m'";m'; Rp59.029,00 ;0;0;;
;2.2.2.5.3;"Per m' penetrasi turap beton pre-cast 22 x 50 cm , pjg -4 m; berat 275 kg/m'";m'; Rp78.792,00 ;0;0;;
;2.2.2.5.4;"Per m' penetrasi turap beton pre-cast 32 x 50 cm , pjg -4 m; berat 400 kg/m'";m'; Rp85.940,00 ;0;0;;
;2.2.2.5.5;"Per m' penetrasi turap beton tulang  pre-cast W-400; ebar 1,0 m; pjg -4 m; berat 350 kg/m'";m'; Rp105.874,00 ;0;0;;
;2.2.2.5.6;"Per m' penetrasi turap beton tulang  pre-cast W-600; lebar 1,0 m; pjg -4 m; berat 375 kg/m' (untuk bangunan gedung)";m'; Rp114.826,00 ;0;0;;
;2.3;PEKERJAAN STRUKTUR BAJA ;;;;;;
;2.23.1;Struktur Atas ;;;;;;
;2.3.1.1;1 kg Pabrikasi dan Ereksi Baja Profil ;Kg; Rp34.049,00 ;Revisi;perubahan di Tukang las di hapus dan Koofisien Baja Profil 1,200 jadi 1,15;;
;2.3.1.2;1 kg Pemasangan angkur;Kg; Rp30.091,00 ;Revisi;Perubahan  kepala tukang di hapus dan penambahan bahan kawat las dan alat las listrik  ;;
;2.3.1.3;1 kg Pemasangan baut;Kg; Rp29.278,00 ;0;0;;
;2.3.1.4;1 kg pekerjaan  baja pelat secara semi mekanis ;Kg; Rp44.589,00 ;0;0;;
;2.3.1.5;1 kg pekerjaan  baja profil siku dengan pengelasan secara semi mekanis;Kg; Rp32.571,00 ;0;0;;
;2.3.1.6;1 kg pekerjaan  baja profil siku tanpa pengelasan secara manual;Kg; Rp28.093,00 ;0;0;;
;2.4;Pekerjaan Struktur Beton Pracetak ;;;;;;
;2.4.1;Pembuatan Bekisting ;;;;;;
;2.4.1.1;Pembuatan 1 m2 Bekisting untuk pelat Beton Pracetak Komponen Modular Bangunan gedung ( 5kali pakai );m2; Rp264.320,00 ;0;0;;
;2.4.1.2;Pembuatan 1 m2 Bekisting untuk balok Beton Pracetak ( 10 - 12 kali pakai );m2; Rp82.623,00 ;0;0;;
;2.4.1.3;Pembuatan 1 m2 Bekisting untuk kolom Beton Pracetak ( 10 - 12 kali pakai );m2; Rp80.290,00 ;0;0;;
;2.4.1.4;Pemasangan 1 titik bekisting joint pracetak;m2; Rp232.144,00 ;0;0;;
;2.4.2;Pemasangan dan Membuka Cetakan ;;;0;0;;
;2.4.2.1 ;Pemasangan dan membuka cetakan 1 buah komponen pelat beton pracetak ;buah; Rp9.306,00 ;0;0;;
;2.4.2.2;Pemasangan dan membuka cetakan 1 buah komponen balok beton pracetak ;buah; Rp15.372,00 ;0;0;;
;2.4.2.3;Pemasangan dan membuka cetakan 1 buah komponen kolom beton pracetak ;buah; Rp12.243,00 ;0;0;;
;2.4.3;Penuangan / Menebar Beton;;;0;0;;
;2.4.3.1;Penuangan / Menebar Beton 1 m3 untuk Pelat Beton Pracetak ;m3; Rp75.339,00 ;0;0;;
;2.4.3.2;Penuangan / Menebar Beton 1 m3 untuk Balok Beton Pracetak ;m3; Rp77.962,00 ;0;0;;
;2.4.3.3;Penuangan / Menebar Beton 1 m3 untuk KOLOM Beton Pracetak ;m3; Rp68.915,00 ;0;0;;
;2.4.4;Pemindahan Komponen Pracetak ;;;0;0;;
;2.4.4.1;Pemindahan 1 buah Komponen untuk Pelat Pracetak (± 20 m);buah; Rp78.969,00 ;0;0;;
;2.4.4.2;Pemindahan 1 buah Komponen untuk Balok Pracetak (± 20 m);buah; Rp78.969,00 ;0;0;;
;2.4.4.3;Pemindahan 1 buah Komponen untuk Kolom Pracetak (± 20 m);buah; Rp78.969,00 ;0;0;;
;2.4.5;Pemasagan dan Ereksi Komponen Pracetak ;;;0;0;;
;2.4.5.1;Pemasangan 1 buah Komponen untuk Pelat Beton Pracetak Beserta Indeks Kenaikan Lantai Ereksi Pelat  Hingga 24 Lantai ;buah; Rp311.937,00 ;0;0;;
;2.4.5.2;Pemasangan 1 buah Komponen untuk Balok  Pracetak Beserta Indeks Kenaikan Lantai Ereksi Pelat  Hingga 24 Lantai ;buah ; Rp283.769,00 ;0;0;;
;2.4.5.3;Ereksi 1 buah komponen untuk pelat pracetak ;buah ; Rp311.618,00 ;0;0;;
;2.4.5.4;Ereksi 1 buah komponen untuk balok pracetak ;buah ; Rp283.769,00 ;0;0;;
;2.4.5.5;Ereksi 1 buah komponen untuk kolom pracetak ;buah ; Rp386.739,00 ;0;0;;
;2.4.5.6;Upah 1 tititk pekerjaan Grout pada Joint Beton Pracetak ;titik; Rp78.281,00 ;0;0;;
;2.4.5.7;Upah 1 titik joint dengan sling ;titik; Rp78.859,00 ;0;0;;
;2.4.6;Produksi Lahan ;;;0;0;;
;2.4.6.1;Pembuatan 1 m2 lahan produksi tebal 8 cm beton fc' = 14.5 Mpa, slump ( 120 ± 20) mm;m2; Rp98.792,00 ;0;0;;
;2.4.6.2;Pembuatan 1 m2 lahan produksi tebal 10 cm beton fc' = 14.5 Mpa, slump ( 120 ± 20) mm;m2; Rp123.611,00 ;0;0;;
;2.4.6.3;Pembuatan 1 m2 lahan produksi tebal 12 cm beton fc' = 14.5 Mpa, slump ( 120 ± 20) mm;m2; Rp148.078,00 ;0;0;;
;2.4.6.4;Pembuatan 1 m2 lahan produksi tebal 15 cm beton fc' = 14.5 Mpa, slump ( 120 ± 20) mm;m2; Rp185.106,00 ;0;0;;
;2.5;PEKERJAAN STRUKTUR BETON PRATEGANG ;;;;;;
;2.5.1;Pemasangan 1 kg kabel prategang (prestressed) polos/strand;kg; Rp90.398,00 ;0;0;;
;2.6;Pekerjaan Struktur Kayu ;;;;;;
;2.6.1;Struktur Atas ;;;;;;
;2.6.2;Pemancangan Tiang Kayu / Cerucuk Bambu/ Dolken ;;;;;;
;2.6.2.1;Pemancangan per m' tiang pancang kayu atau dolken dia. 6-8 cm ;m; Rp164.749,00 ;0;0;;
;2.6.2.2;Pemancangan per m' Tiang kayu Gelondongan dia. 18-20 cm ;m; Rp270.391,00 ;0;0;;
;2.6.2.3;1 m2 Turap bambu dari geribig bambu secara manual, JAT < 0,5 m;m2; Rp55.582,00 ;0;0;;
;2.7;Pekerjaan Dinding Penahan Tanah ;;;;;;
;2.7.1;"Pemasangan 1 M' pipa suling -suling menggunakan pipa PVC dia. 1"" (untuk bangunan gedung)";m'; Rp30.921,00 ;Revisi;Perubahan di bahan Geotekstil >100 gr/m2 jadi Geotekstil woven 400 gr/m2;;
;2.7.2;"Pemasangan 1 M' pipa suling -suling menggunakan pipa PVC dia. 2"" (untuk bangunan gedung)";m2; Rp55.297,00 ;Revisi;Perubahan di bahan Geotekstil >100 gr/m2 jadi Geotekstil woven 400 gr/m2;;
;2.7.3;Pemasangan 1 m2 Lapisan Ijuk tebal 10 cm ;m2; Rp66.000,00 ;0;0;;
;2.7.4;Pemasangan 1 m2 finishing siar pasangan batu kali, campuran 1SP : 2PP;m2; Rp74.818,00 ;Revisi;Tidak ada perubahan;;
;2.7.5;1 m3 bronjong kawat digalvanis, lubang heksagonal 80 x 100 mm, beda tinggi >0 s.d 1 m' berkontak langsung dengan tanah ( kawat dibuat sendiri);m2; Rp617.742,00 ;0;0;;
;2.7.6;"1 m3 bronjong kawat digalvanis, lubang heksagonal 80 x 100 mm; beda tinggi > 0 s.d 1 m' tidak berkontak langsung dengan tanah (kawat dibuat sendiri)";m3; Rp522.702,00 ;0;0;;
;2.7.7;" 1 m3 bronjong kawat digalvanis, lubang heksagonal 80x100mm; beda tinggi >3 s.d 4 m' berkontak langsung dengan tanah (kawat dibuat sendiri)";m3; Rp693.561,00 ;0;0;;
;2.7.8;" 1 m3 bronjong kawat digalvanis, lubang heksagonal 80x100mm; beda tinggi >3 s.d 4 m' tidak berkontak langsung dengan tanah (kawat dibuat sendiri)";m3; Rp598.521,00 ;0;0;;
;2.7.9;" 1 m3 kawat bronjong kawat digalvanis, lubang heksagonal 100x120mm; beda tinggi >0 s.d 1 m' berkontak langsung dengan tanah (kawat dibuat sendiri)";m3; Rp607.222,00 ;0;0;;
;2.7.10;" 1 m3 kawat bronjong kawat digalvanis, lubang heksagonal 100x120mm; beda tinggi > 0 s.d 1 m' berkontak langsung dengan tanah (kawat dibuat sendiri)";m3; Rp512.182,00 ;0;0;;
;2.7.11;" 1 m3 kawat bronjong kawat digalvanis, lubang heksagonal 100x120mm; beda tinggi > 3 s.d 4 m' berkontak langsung dengan tanah (kawat dibuat sendiri)";m3; Rp670.500,00 ;0;0;;
;2.7.12;" 1 m3 kawat bronjong kawat digalvanis, lubang heksagonal 100x120mm; beda tinggi > 3 s.d 4 m'  tidak berkontak langsung dengan tanah (kawat dibuat sendiri)";m3; Rp575.460,00 ;0;0;;
;2.7.13;"1 m3 pasangan batu bronjong kawat paprikasi; beda tinggi > 0 s.d 1 m' berkontak langsung dengan tanah ";m3; Rp712.085,00 ;0;0;;
;2.7.14;"1 m3 pasangan batu bronjong kawat paprikasi; beda tinggi > 0 s.d 1 m' tidak berkontak langsung dengan tanah ";m3; Rp712.085,00 ;0;0;;
;2.7.15;"1 m3 pasangan batu bronjong kawat paprikasi; beda tinggi > 3 s.4  m' berkontak langsung dengan tanah ";m3; Rp775.341,00 ;0;0;;
;2.7.16;"1 m3 pasangan batu bronjong kawat paprikasi; beda tinggi > 3 s.4  m' tidak berkontak langsung dengan tanah ";m3; Rp775.341,00 ;0;0;;
;3;PEKERJAAN ARSITEKTUR ;;;;;;
;3.1;PEKERJAAN PENUTUP ATAP;;;;;;
;3.1.1;Atap Genteng ;;;;;;
;3.1.1.1;Pemasangan 1 m2 atap Genteng Palentong  Kecil ;m2; Rp107.456,00 ;0;0;;
;3.1.1.2;Pemasangan 1 m2 atap genteng kodok glazuur;m2; Rp189.956,00 ;0;0;;
;3.1.1.3;Pemasangan 1 m2 atap genteng palentong besar;m2; Rp100.416,00 ;0;0;;
;3.1.1.4;Pemasangan 1 m2 atap genteng beton;m2; Rp123.541,00 ;0;0;;
;3.1.1.5;Pemasangan 1 m' Nok/bubung genteng palentong kecil;m2; Rp161.194,00 ;0;0;;
